Air Pollutant (English) / Polluant atmosphérique (anglais),Air Pollutant (French) / Polluant atmosphérique (français),Economic Sector (English) / Secteur économique (anglais),Economic Sector (French) / Secteur économique (français),Units (English) / Unité (anglais),Units (French) / Unité (français),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Carbon Monoxide,Monoxyde de carbone,Electricity,Électricité,Kilotonnes,Kilotonnes,47,30,37,32,31,37,32,26,27,30,32,32,36,31,26,28,30,37,39,44,30,33,32,31,30,30
Carbon Monoxide,Monoxyde de carbone,Transportation,Transports,Kilotonnes,Kilotonnes,4945,4649,4521,4290,4018,3876,3438,3211,3152,3012,2942,2901,2962,3008,3025,2683,2756,2857,2916,2978,2985,2992,3004,3019,3035,3050
Carbon Monoxide,Monoxyde de carbone,Heavy Industry,Industrie lourde,Kilotonnes,Kilotonnes,650,630,648,653,609,653,683,645,651,629,637,682,712,652,623,574,603,625,646,657,667,686,702,717,733,749
Carbon Monoxide,Monoxyde de carbone,Buildings,Bâtiments,Kilotonnes,Kilotonnes,618,602,699,699,704,628,666,635,707,709,695,659,664,705,718,649,643,621,600,581,562,543,527,511,496,481
Carbon Monoxide,Monoxyde de carbone,Agriculture,Agriculture,Kilotonnes,Kilotonnes,87,81,82,78,75,78,66,60,57,54,50,43,46,48,48,47,47,47,48,48,48,48,48,48,48,49
Carbon Monoxide,Monoxyde de carbone,Waste and Others,Déchets et autres sources,Kilotonnes,Kilotonnes,595,442,356,355,357,299,276,316,237,308,286,258,197,173,194,191,191,197,199,198,197,196,196,197,198,199
Carbon Monoxide,Monoxyde de carbone,Total,Total,Kilotonnes,Kilotonnes,7444,6946,6875,6662,6333,6106,5705,5439,5398,5307,5213,5123,5181,5197,5185,4745,4822,4920,4965,5007,4981,4980,4979,4982,4988,4995
Mercury,Mercure,Oil and Gas,Pétrole et gaz,Kilograms,Kilogrammes,156,178,224,204,209,204,171,170,172,144,124,126,111,114,94,87,89,95,99,101,104,105,106,106,106,107
Mercury,Mercure,Electricity,Électricité,Kilograms,Kilogrammes,2161,1980,2150,1618,1666,1582,1016,862,847,708,722,657,618,601,560,277,250,182,175,143,143,143,122,114,112,67
Mercury,Mercure,Transportation,Transports,Kilograms,Kilogrammes,102,105,107,108,89,82,87,84,74,68,57,51,55,56,56,52,52,53,53,53,53,53,54,55,56,56
